Temperature,x1,x2,y1,y2
°C,mol fract.,mol fract.,mol fract.,mol fract.
56.9036,0.233145,0.331015,0.128469,0.234864
56.9059,0.277239,0.371706,0.129106,0.233989
56.9071,0.321133,0.412612,0.129557,0.23335
56.9085,0.364915,0.453638,0.129797,0.233024
56.9091,0.408649,0.494716,0.129998,0.232737
58.5662,0.452659,0.535491,0.139421,0.254317
79.5937,0.4938,0.5062,0.333888,0.666112
79.9066,0.536226,0.463774,0.351363,0.648637
80.2444,0.578652,0.421348,0.367962,0.632038
80.6104,0.621079,0.378921,0.38398,0.61602
81.0119,0.663505,0.336495,0.3998,0.6002
81.4625,0.705932,0.294068,0.415957,0.584043
81.987,0.748358,0.251642,0.433252,0.566748
82.6299,0.790784,0.209216,0.45297,0.54703
83.4727,0.833211,0.166789,0.477341,0.522659
84.6712,0.875637,0.124363,0.510591,0.489409
86.5465,0.918064,0.0819364,0.561795,0.438205
89.8571,0.96049,0.03951,0.654604,0.345396
96.9375,1,0,0.877195,0.122805
100.348,1,0,1,0
80.1932,0.60623,0.406498,0.37992,0.62008
80.6104,0.621079,0.378921,0.38398,0.61602
62.4424,0.593502,0.39377,0.180258,0.279317
80.6104,0.621079,0.378921,0.38398,0.61602
56.8784,0.121877,0.243059,0.121877,0.243059
56.9157,0.15377,0.237859,0.130175,0.232609
56.943,0.207678,0.253271,0.134011,0.227053
56.9651,0.263922,0.274157,0.136154,0.223748
56.978,0.319607,0.296497,0.137528,0.221442
56.9968,0.375011,0.319526,0.138559,0.21984
57.0049,0.430256,0.342935,0.139084,0.218959
57.0116,0.48543,0.366512,0.139527,0.218195
57.0215,0.540528,0.390265,0.140088,0.217236
59.854,0.59054,0.40946,0.15958,0.249077
80.7189,0.632966,0.367034,0.388413,0.611587
81.1323,0.675393,0.324607,0.404265,0.595735
81.6005,0.717819,0.282181,0.420645,0.579355
82.1526,0.760246,0.239754,0.438459,0.561541
82.841,0.802672,0.197328,0.459198,0.540802
83.7631,0.845098,0.154902,0.4855,0.5145
85.1077,0.887525,0.112475,0.522525,0.477475
87.2766,0.929951,0.0700488,0.581862,0.418138
91.2722,0.972378,0.0276224,0.696106,0.303894
100.348,1,0,1,0
80.8952,0.660544,0.352184,0.396021,0.603979
81.1323,0.675393,0.324607,0.404265,0.595735
57.1359,0.647816,0.339456,0.145244,0.207709
81.1323,0.675393,0.324607,0.404265,0.595735
56.8784,0.121877,0.243059,0.121877,0.243059
56.9096,0.140345,0.229716,0.129059,0.234135
56.983,0.196124,0.218952,0.137359,0.221891
57.0437,0.256095,0.217602,0.141142,0.215462
57.0993,0.316063,0.219451,0.143699,0.210776
57.1483,0.375965,0.222876,0.145604,0.207067
57.1923,0.435805,0.22724,0.147114,0.203994
57.218,0.495597,0.232232,0.147954,0.202209
57.2427,0.555363,0.237531,0.148712,0.200579
57.2767,0.615096,0.243179,0.149705,0.198387
57.3103,0.674804,0.249096,0.15059,0.196451
57.3385,0.73449,0.255227,0.151341,0.194717
82.5843,0.78809,0.21191,0.45161,0.54839
83.4108,0.830516,0.169484,0.475589,0.524411
84.5797,0.872943,0.127057,0.508081,0.491919
86.3966,0.915369,0.0846308,0.557691,0.442309
89.5755,0.957796,0.0422044,0.646496,0.353504
96.2619,1,0,0.854207,0.145793
100.348,1,0,1,0
57.2831,0.644062,0.255094,0.149846,0.19812
57.3103,0.674804,0.249096,0.15059,0.196451
57.3264,0.645838,0.237182,0.151064,0.195306
57.3103,0.674804,0.249096,0.15059,0.196451
56.8784,0.121877,0.243059,0.121877,0.243059
56.9168,0.105843,0.261939,0.112719,0.254002
57.1228,0.0722198,0.306434,0.0860817,0.280481
57.4052,0.0490193,0.361183,0.0641639,0.299969
57.5502,0.0375712,0.420032,0.0539689,0.308353
57.7142,0.0310772,0.479655,0.0432967,0.317148
57.8814,0.0287438,0.539605,0.0342033,0.326022
58.0443,0.0281795,0.599602,0.0289898,0.333609
58.2891,0.0285073,0.659601,0.0256632,0.34271
58.7376,0.0293478,0.719595,0.023481,0.356329
59.6094,0.0305069,0.779583,0.0222325,0.379472
61.3441,0.0318642,0.839568,0.0221042,0.422822
64.9013,0.033313,0.89955,0.0239747,0.514413
72.5338,0.0345772,0.959537,0.0309035,0.747842
78.2118,0,1,0,1
58.3574,0.0193436,0.62965,0.0184686,0.347783
58.2891,0.0285073,0.659601,0.0256632,0.34271
58.1206,0.0373432,0.629552,0.0334055,0.334337
58.2891,0.0285073,0.659601,0.0256632,0.34271
56.8784,0.121877,0.243059,0.121877,0.243059
56.9209,0.105578,0.265862,0.111828,0.254987
57.0409,0.0860589,0.315635,0.0945896,0.272548
57.1617,0.0774186,0.374961,0.0834715,0.283053
57.2554,0.0748443,0.434897,0.0757769,0.289995
57.2897,0.0751423,0.494893,0.0720276,0.292974
